Test,Experiment,Proxy,M0_Verdict,Best_Mechanism,Lambda,p_boot,chi2_A,chi2_B,Health_A,Health_B,delta_AIC,delta_BIC,Mechanism_Verdict,Notes
CMS X(6900)/X(7100) Di-J/psi,CMS,,SUPPORTED,M0,1.8247718147333671,0.4033333333333333,1.016286225275991,2.486865269540029,PASS,PASS,,,M0_SUPPORTED,Rank-1 constraint passes: p=0.403
ATLAS X(6900)/X(7200) Di-Charmonium,ATLAS,,MODEL MISMATCH,UNDETERMINED,,,,,UNKNOWN,UNKNOWN,,,MODEL MISMATCH,4mu+2pi chi2/dof=9.74 >> 3.0
LHCb Pentaquark Pair1 T1vsT2 (quad bg),LHCb,Yes,SUPPORTED,M0,-15.660395232758674,0.4,1.6988900222312775,1.1429000778378429,PASS,PASS,,,M0_SUPPORTED,Rank-1 constraint passes: p=0.400
LHCb Pentaquark Pair2 T1vsT3 (quad bg),LHCb,Yes,SUPPORTED,M0,-5.936433902511453,0.32,1.6988900222312775,1.390822894927072,PASS,PASS,,,M0_SUPPORTED,Rank-1 constraint passes: p=0.320
BaBar phi-f0(980) vs phi-pi+pi-,BaBar,,DISFAVORED,M1,342.139698270595,0.0,1.1413601393415096,2.815885552500829,PASS,PASS,338.139698270595,334.31565225973867,M0_DISFAVORED,"Rank-1 rejected: p=0.0000, Lambda=342.139698270595"
BaBar omega(1420)/omega(1650),BaBar,,DISFAVORED,M1,958.2697198046197,0.0,1.1880750221892287,1.169367911389312,PASS,PASS,,,M0_DISFAVORED,"Rank-1 rejected: p=0.0000, Lambda=958.269719804619..."
Y(4220)/Y(4360) Belle vs BaBar,Belle/BaBar,,INCONCLUSIVE,INCONCLUSIVE,,0.732,0.7029855439890009,0.3636043216335064,PASS,UNDERCONSTRAINED,,,INCONCLUSIVE,Channel B underconstrained: chi2/dof=0.36
BESIII Y(4220)/Y(4360),BESIII,,INCONCLUSIVE,INCONCLUSIVE,,,1.6597225608806556,8.815631814751953,PASS,POOR FIT,,,INCONCLUSIVE,Channel B chi2/dof=8.8 >> 3.0
BaBar K*(892)K I=0 vs I=1,BaBar,,MODEL MISMATCH,UNDETERMINED,0.07089889819231887,,0.010358479044889986,0.014611237717513341,UNDERCONSTRAINED,UNDERCONSTRAINED,-3.9291011018076816,-7.753147112663974,MODEL MISMATCH,chi2/dof << 0.5 (underconstrained)
BaBar phi-eta vs K+K-eta,BaBar,,MODEL MISMATCH,UNDETERMINED,0.037111555054236134,,0.017519963603685088,0.02294803805353423,UNDERCONSTRAINED,UNDERCONSTRAINED,-3.9628884449457615,-7.786934455802054,MODEL MISMATCH,chi2/dof << 0.5 (underconstrained)
