test_name,data_type,nbins,stats_level,power_M1,power_M4,typeI_M0,median_CI_r,median_CI_phi,identifiability_rate,pass_rate,recommended_priority
di_charmonium_jpsi_jpsi_vs_jpsi_psi2s,poisson,40,1.0,0.887,0.206,0.051,0.033,81.2,1.00,0.98,MEDIUM_M4LOW
di_charmonium_jpsi_jpsi_vs_jpsi_psi2s,poisson,40,2.0,1.000,0.318,0.244,0.021,66.5,1.00,0.83,HIGH_TYPEI
di_charmonium_jpsi_jpsi_vs_jpsi_psi2s,poisson,40,4.0,1.000,0.517,0.108,0.015,24.7,1.00,0.79,HIGH
di_charmonium_jpsi_psi2s_vs_psi2s_psi2s,poisson,40,1.0,0.778,0.222,0.083,0.055,56.8,1.00,0.55,MEDIUM
di_charmonium_jpsi_psi2s_vs_psi2s_psi2s,poisson,40,2.0,0.946,0.284,0.091,0.031,76.7,1.00,0.90,MEDIUM_M4LOW
di_charmonium_jpsi_psi2s_vs_psi2s_psi2s,poisson,40,4.0,1.000,0.236,0.165,0.023,36.7,1.00,0.86,HIGH_TYPEI
pentaquark_jpsi_p_vs_etac_p,poisson,50,1.0,0.488,0.113,0.167,0.034,57.3,1.00,0.49,LOW_PASS
pentaquark_jpsi_p_vs_etac_p,poisson,50,2.0,0.785,0.468,0.500,0.024,36.7,1.00,0.79,HIGH_TYPEI
pentaquark_jpsi_p_vs_etac_p,poisson,50,4.0,0.945,0.176,0.188,0.014,28.5,1.00,0.64,HIGH_TYPEI
zc_like_pi_jpsi_vs_dd_star,poisson,35,1.0,0.868,0.205,0.058,0.024,68.9,1.00,0.70,MEDIUM_M4LOW
zc_like_pi_jpsi_vs_dd_star,poisson,35,2.0,1.000,0.284,0.074,0.018,25.7,1.00,0.93,MEDIUM_M4LOW
zc_like_pi_jpsi_vs_dd_star,poisson,35,4.0,1.000,0.313,0.062,0.022,24.0,0.99,0.98,MEDIUM_M4LOW
y_state_pipi_jpsi_vs_pipi_hc,gaussian,30,1.0,1.000,1.000,0.045,0.006,42.3,1.00,0.25,LOW_PASS
y_state_pipi_jpsi_vs_pipi_hc,gaussian,30,2.0,1.000,1.000,0.000,0.013,46.7,1.00,0.79,HIGH
y_state_pipi_jpsi_vs_pipi_hc,gaussian,30,4.0,nan,nan,nan,nan,nan,nan,0.00,UNKNOWN
bottomonium_pi_upsilon_vs_pi_hb,poisson,45,1.0,0.611,0.241,0.077,0.051,47.6,1.00,0.30,LOW_PASS
bottomonium_pi_upsilon_vs_pi_hb,poisson,45,2.0,0.952,0.275,0.115,0.030,94.0,1.00,0.87,MEDIUM_M4LOW
bottomonium_pi_upsilon_vs_pi_hb,poisson,45,4.0,0.985,0.203,0.160,0.021,35.8,1.00,0.72,HIGH_TYPEI
